
Rk,Team ▴,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,Anaheim Ducks*,82,54,20,8,116,.707,266,209,0.68,-0.01,5.79,44,275,16.00,48,270,82.22,10,8,2569,10.2,2349,.915,101.7
2,Boston Bruins*,82,54,19,9,117,.713,261,177,0.92,-0.11,5.34,50,230,21.74,43,263,83.65,9,6,2613,9.9,2384,.929,102.8
3,Buffalo Sabres,82,21,51,10,52,.317,157,248,-1.09,0.02,4.94,36,256,14.06,51,274,81.39,5,5,2156,7.0,2805,.918,98.4
4,Calgary Flames,82,35,40,7,77,.470,209,241,-0.35,0.04,5.49,39,249,15.66,43,235,81.70,12,7,2199,9.2,2336,.902,99.0
5,Carolina Hurricanes,82,36,35,11,83,.506,207,230,-0.29,-0.01,5.33,41,281,14.59,44,241,81.74,11,8,2561,8.0,2526,.915,99.2
6,Chicago Blackhawks*,82,46,21,15,107,.652,267,220,0.60,0.02,5.94,50,257,19.46,46,248,81.45,9,6,2715,9.6,2224,.907,100.2
7,Colorado Avalanche*,82,52,22,8,112,.683,250,220,0.40,0.04,5.73,50,252,19.84,48,249,80.72,3,1,2420,10.1,2671,.922,102.2
8,Columbus Blue Jackets*,82,43,32,7,93,.567,231,216,0.16,-0.03,5.45,54,280,19.29,50,280,82.14,9,8,2431,9.3,2516,.918,100.8
9,Dallas Stars*,82,40,31,11,91,.555,235,228,0.14,0.05,5.65,46,290,15.86,49,263,81.37,8,5,2597,8.9,2485,.913,100.0
10,Detroit Red Wings*,82,39,28,15,93,.567,222,230,-0.14,-0.04,5.51,50,282,17.73,50,295,83.05,3,5,2456,8.8,2395,.911,99.8
11,Edmonton Oilers,82,29,44,9,67,.409,203,270,-0.75,0.07,5.77,46,271,16.97,50,280,82.14,4,13,2208,9.0,2686,.904,99.2
12,Florida Panthers,82,29,45,8,66,.402,196,268,-0.87,0.01,5.66,27,269,10.04,63,262,75.95,8,6,2451,7.7,2542,.900,97.5
13,Los Angeles Kings*,82,46,28,8,100,.610,206,174,0.40,0.01,4.63,43,284,15.14,50,296,83.11,5,6,2595,7.6,2147,.923,100.0
14,Minnesota Wild*,82,43,27,12,98,.598,207,206,0.07,0.05,5.04,45,252,17.86,53,250,78.80,4,8,2180,9.1,2264,.917,100.7
15,Montreal Canadiens*,82,46,28,8,100,.610,215,204,0.08,-0.05,5.11,48,279,17.20,43,289,85.12,6,8,2330,9.0,2536,.923,101.1
16,Nashville Predators,82,38,32,12,88,.537,216,242,-0.25,0.07,5.59,46,239,19.25,47,238,80.25,2,0,2382,9.0,2365,.904,99.3
17,New Jersey Devils,82,35,29,18,88,.537,197,208,-0.15,-0.02,4.94,47,241,19.50,36,264,86.36,9,4,2199,9.0,2078,.911,99.6
18,New York Islanders,82,34,37,11,79,.482,225,267,-0.51,0.00,6.00,49,276,17.75,58,265,78.11,8,7,2537,8.5,2453,.898,98.0
19,New York Rangers*,82,45,31,6,96,.585,218,193,0.26,-0.04,5.01,48,264,18.18,34,232,85.34,10,7,2719,7.9,2408,.923,100.2
20,Ottawa Senators,82,37,31,14,88,.537,236,265,-0.37,-0.02,6.11,50,271,18.45,61,320,80.94,5,10,2692,8.5,2842,.912,99.6
21,Philadelphia Flyers*,82,42,30,10,94,.573,236,235,-0.01,-0.02,5.74,58,294,19.73,48,316,84.81,8,11,2490,9.4,2500,.912,100.4
22,Phoenix Coyotes,82,37,30,15,89,.543,216,231,-0.16,0.03,5.45,56,282,19.86,57,272,79.04,3,5,2499,8.4,2529,.916,99.8
23,Pittsburgh Penguins*,82,51,24,7,109,.665,249,207,0.47,-0.04,5.56,65,278,23.38,38,254,85.04,4,6,2454,9.9,2356,.915,101.2
24,San Jose Sharks*,82,51,22,9,111,.677,249,200,0.60,0.00,5.48,50,291,17.18,33,219,84.93,8,6,2851,8.4,2276,.917,100.0
25,St. Louis Blues*,82,52,23,7,111,.677,248,191,0.71,0.01,5.35,56,283,19.79,42,293,85.67,6,6,2402,10.0,2157,.916,101.3
26,Tampa Bay Lightning*,82,46,27,9,101,.616,240,215,0.25,-0.06,5.55,50,270,18.52,52,270,80.74,10,8,2446,9.5,2389,.916,100.9
27,Toronto Maple Leafs,82,38,36,8,84,.512,231,256,-0.34,-0.04,5.94,50,252,19.84,58,268,78.36,7,12,2290,9.7,2933,.918,101.2
28,Vancouver Canucks,82,36,35,11,83,.506,196,223,-0.30,0.03,5.11,39,257,15.18,46,274,83.21,6,4,2527,7.6,2316,.911,98.4
29,Washington Capitals,82,38,30,14,90,.549,235,240,-0.08,-0.02,5.79,68,291,23.37,51,284,82.04,5,10,2412,9.3,2746,.918,101.1
30,Winnipeg Jets,82,37,35,10,84,.512,227,237,-0.07,0.06,5.66,40,259,15.44,49,291,83.16,5,6,2516,8.7,2469,.908,99.5
,League Average,82,40,31,10,91,.556,224,226,-0.03,0.00,5.49,48,268,17.84,48,268,82.02,7,7,2529,8.8,2759,.913,
